civilite,nom_client,postal_client,adresse_client,tel_client,profession_client,fax_client,email_client,numero_client
M.,Nom94,70080,960 Rue Principale,0525743279,Ingénieur,0374533805,nom94@example.com,CL118
M.,Nom714,91349,781 Rue Principale,0986959513,Ingénieur,0960072459,nom714@example.com,CL990
M.,Nom238,23538,938 Rue Principale,0414591912,Scientifique,0113538916,nom238@example.com,CL448
Mme,Nom99,14210,196 Rue Principale,0558836470,Scientifique,0849520467,nom99@example.com,CL529
M.,Nom389,59468,163 Rue Principale,0155665474,Journaliste,0874068418,nom389@example.com,CL713
M.,Nom126,35013,765 Rue Principale,0393480381,Scientifique,0336652179,nom126@example.com,CL706
M.,Nom304,45045,655 Rue Principale,0310904358,Enseignante,0712720977,nom304@example.com,CL260
M.,Nom134,43970,855 Rue Principale,0862568220,Informaticien,0348814474,nom134@example.com,CL164
Mme,Nom978,41559,490 Rue Principale,0307854484,Ingénieur,0300973391,nom978@example.com,CL86
M.,Nom128,26670,645 Rue Principale,0324751773,Pompier,0415628447,nom128@example.com,CL804
M.,Nom455,35678,907 Rue Principale,0398778698,Scientifique,0127024497,nom455@example.com,CL321
Mme,Nom839,82226,528 Rue Principale,0859509607,Journaliste,0982173897,nom839@example.com,CL981
Mme,Nom748,70904,130 Rue Principale,0725974332,Médecin,0179002868,nom748@example.com,CL344
M.,Nom730,11417,21 Rue Principale,0161930695,Journaliste,0973444454,nom730@example.com,CL99
M.,Nom71,80195,1 Rue Principale,0647049615,Avocat,0198649433,nom71@example.com,CL929
Mme,Nom702,50491,449 Rue Principale,0917265546,Artiste,0430693417,nom702@example.com,CL111
M.,Nom756,89798,338 Rue Principale,0897548945,Architecte,0802963634,nom756@example.com,CL53
Mme,Nom938,96635,89 Rue Principale,0118617142,Architecte,0812876032,nom938@example.com,CL672
M.,Nom690,97661,138 Rue Principale,0240492665,Scientifique,0238821449,nom690@example.com,CL657
Mme,Nom620,79667,271 Rue Principale,0331406795,Architecte,0256922302,nom620@example.com,CL463
Mme,Nom669,91324,312 Rue Principale,0257545445,Architecte,0157743724,nom669@example.com,CL811
Mme,Nom232,43593,405 Rue Principale,0353668797,Avocat,0117661747,nom232@example.com,CL758
Mme,Nom630,89912,297 Rue Principale,0720705967,Pompier,0980888575,nom630@example.com,CL626
M.,Nom323,15301,919 Rue Principale,0160964201,Artiste,0580325138,nom323@example.com,CL570
M.,Nom360,34852,158 Rue Principale,0298703611,Artiste,0668179823,nom360@example.com,CL658
Mme,Nom932,12422,795 Rue Principale,0766842420,Pompier,0996735342,nom932@example.com,CL973
Mme,Nom869,98110,210 Rue Principale,0786459145,Architecte,0367960609,nom869@example.com,CL452
Mme,Nom829,22858,477 Rue Principale,0263084187,Artiste,0245677949,nom829@example.com,CL408
M.,Nom997,39164,166 Rue Principale,0489188576,Médecin,0387514071,nom997@example.com,CL744
M.,Nom397,74240,702 Rue Principale,0879393565,Médecin,0763091768,nom397@example.com,CL907
M.,Nom963,83878,135 Rue Principale,0362453273,Enseignante,0788895966,nom963@example.com,CL19
M.,Nom196,25039,238 Rue Principale,0966252614,Scientifique,0496718983,nom196@example.com,CL165
M.,Nom771,95239,486 Rue Principale,0102718450,Pompier,0442290578,nom771@example.com,CL148
Mme,Nom250,62816,552 Rue Principale,0853187915,Ingénieur,0859663770,nom250@example.com,CL28
M.,Nom523,34699,253 Rue Principale,0456419036,Ingénieur,0469828200,nom523@example.com,CL32
Mme,Nom918,33584,31 Rue Principale,0105082273,Enseignante,0285150178,nom918@example.com,CL1000
M.,Nom24,48481,128 Rue Principale,0353850032,Pompier,0333879850,nom24@example.com,CL323
M.,Nom148,36601,491 Rue Principale,0420332938,Avocat,0814685629,nom148@example.com,CL922
M.,Nom278,19345,685 Rue Principale,0620260519,Journaliste,0523620739,nom278@example.com,CL767
M.,Nom820,30784,169 Rue Principale,0302815877,Enseignante,0419874781,nom820@example.com,CL925
M.,Nom45,73586,258 Rue Principale,0197270175,Pompier,0890956466,nom45@example.com,CL767
Mme,Nom106,50294,44 Rue Principale,0833400910,Architecte,0587012125,nom106@example.com,CL97
Mme,Nom534,21227,482 Rue Principale,0723320993,Journaliste,0728880017,nom534@example.com,CL494
M.,Nom405,59178,7 Rue Principale,0745272482,Informaticien,0525335588,nom405@example.com,CL697
Mme,Nom529,68867,394 Rue Principale,0323737255,Pompier,0727811249,nom529@example.com,CL294
M.,Nom987,39302,490 Rue Principale,0270128146,Artiste,0859928852,nom987@example.com,CL986
M.,Nom515,98856,321 Rue Principale,0239725752,Scientifique,0217465157,nom515@example.com,CL33
M.,Nom820,76322,650 Rue Principale,0679537224,Pompier,0353847690,nom820@example.com,CL482
M.,Nom716,70485,450 Rue Principale,0636968287,Avocat,0973473934,nom716@example.com,CL470
M.,Nom228,38474,286 Rue Principale,0926360763,Médecin,0214561176,nom228@example.com,CL383
M.,Nom297,32143,796 Rue Principale,0361066653,Scientifique,0669586594,nom297@example.com,CL197
Mme,Nom666,31933,399 Rue Principale,0174686226,Scientifique,0670847658,nom666@example.com,CL573
M.,Nom587,69470,864 Rue Principale,0982401423,Informaticien,0820130409,nom587@example.com,CL687
